ENSEMBL	ENTREZID	SYMBOL
ENSG00000123411	64375	IKZF4
ENSG00000138119	26509	MYOF
ENSG00000231924	5669	PSG1
ENSG00000231924	5672	PSG4
ENSG00000128482	7732	RNF112
ENSG00000197694	6709	SPTAN1
ENSG00000103994	64397	ZNF106
ENSG00000146966	27147	DENND2A
ENSG00000141985	6455	SH3GL1
ENSG00000105889	256227	STEAP1B
ENSG00000105889	401312	LOC401312
ENSG00000126524	51119	SBDS
ENSG00000109674	55247	NEIL3
ENSG00000198786	4540	MT-ND5
ENSG00000184014	23258	DENND5A
ENSG00000004487	23028	KDM1A
ENSG00000153879	1054	CEBPG
ENSG00000109814	7358	UGDH
ENSG00000185252	7625	ZNF74
ENSG00000142459	115704	EVI5L
ENSG00000186918	55893	ZNF395
ENSG00000243649	629	CFB
ENSG00000108592	117246	FTSJ3
ENSG00000104321	8989	TRPA1
ENSG00000139644	7009	TMBIM6
ENSG00000166289	79156	PLEKHF1
ENSG00000094963	2327	FMO2
ENSG00000197415	79674	VEPH1
ENSG00000060762	51660	MPC1
ENSG00000143786	149111	CNIH3
ENSG00000156521	219743	TYSND1
ENSG00000259399	100527943	TGIF2-RAB5IF
ENSG00000111897	57515	SERINC1
ENSG00000173402	1605	DAG1
ENSG00000277273	1022	CDK7
ENSG00000106993	55664	CDC37L1
ENSG00000159403	715	C1R
ENSG00000182985	23705	CADM1
ENSG00000159658	9813	EFCAB14
ENSG00000196588	57591	MRTFA
ENSG00000292270	317749	DHRS4L2
ENSG00000117385	64175	P3H1
ENSG00000145041	9730	DCAF1
ENSG00000132361	23277	CLUH
ENSG00000188613	340719	NANOS1
ENSG00000064687	10347	ABCA7
ENSG00000169446	93380	MMGT1
ENSG00000205302	6643	SNX2
ENSG00000162595	9077	DIRAS3
ENSG00000196072	282991	BLOC1S2
ENSG00000118971	894	CCND2
ENSG00000184922	752	FMNL1
ENSG00000106571	2737	GLI3
ENSG00000162889	9261	MAPKAPK2
ENSG00000100380	6767	ST13
ENSG00000124831	9208	LRRFIP1
ENSG00000055813	114800	CCDC85A
ENSG00000223949	101927034	ROR1-AS1
ENSG00000055211	116254	GINM1
ENSG00000164307	51752	ERAP1
ENSG00000172331	669	BPGM
ENSG00000055130	8454	CUL1
ENSG00000141452	29919	RMC1
ENSG00000064601	5476	CTSA
ENSG00000154529	728577	CNTNAP3B
ENSG00000169136	22809	ATF5
ENSG00000198668	801	CALM1
ENSG00000171150	9655	SOCS5
ENSG00000186907	349667	RTN4RL2
ENSG00000124126	57580	PREX1
ENSG00000070388	27006	FGF22
ENSG00000130176	1264	CNN1
ENSG00000146242	7162	TPBG
ENSG00000127947	5782	PTPN12
ENSG00000092847	26523	AGO1
ENSG00000151694	6868	ADAM17
ENSG00000101843	5716	PSMD10
ENSG00000165891	144455	E2F7
ENSG00000112304	55856	ACOT13
ENSG00000140497	10066	SCAMP2
ENSG00000167985	54949	SDHAF2
ENSG00000100968	4776	NFATC4
ENSG00000103353	56061	UBFD1
ENSG00000083520	22894	DIS3
ENSG00000087842	8544	PIR
ENSG00000228801	102724330	PCMTD1-DT
ENSG00000228801	124901944	LOC124901944
ENSG00000247572	100131067	CKMT2-AS1
ENSG00000109084	27346	TMEM97
ENSG00000183864	10766	TOB2
ENSG00000019144	23187	PHLDB1
ENSG00000124357	55577	NAGK
ENSG00000022840	9921	RNF10
ENSG00000105339	22898	DENND3
ENSG00000166398	9710	GARRE1
ENSG00000234546	102724571	LNCTAM34A
ENSG00000095139	372	ARCN1
ENSG00000173545	90441	ZNF622
ENSG00000257453	120766149	PHLDA1-AS1
ENSG00000168264	359948	IRF2BP2
ENSG00000292225	55672	NBPF1
ENSG00000144230	2840	GPR17
ENSG00000197008	7697	ZNF138
ENSG00000197905	7004	TEAD4
ENSG00000148484	6251	RSU1
ENSG00000157445	55799	CACNA2D3
ENSG00000104313	2138	EYA1
ENSG00000196214	90321	ZNF766
ENSG00000142149	30811	HUNK
ENSG00000182179	7318	UBA7
ENSG00000144136	6574	SLC20A1
ENSG00000063169	29998	BICRA
ENSG00000213190	10962	MLLT11
ENSG00000171865	246243	RNASEH1
ENSG00000070371	8218	CLTCL1
ENSG00000123179	84650	EBPL
ENSG00000184988	113277	TMEM106A
ENSG00000151502	112936	VPS26B
ENSG00000099139	5125	PCSK5
ENSG00000134259	4803	NGF
ENSG00000073584	6605	SMARCE1
ENSG00000180694	169200	TMEM64
ENSG00000196810	92070	CTBP1-DT
ENSG00000185825	10134	BCAP31
ENSG00000173064	283450	HECTD4
ENSG00000155827	56254	RNF20
ENSG00000167615	114823	LENG8
ENSG00000143493	25896	INTS7
ENSG00000181852	10193	RNF41
ENSG00000006118	54972	TMEM132A
ENSG00000165244	195828	ZNF367
ENSG00000120265	5110	PCMT1
ENSG00000115760	57448	BIRC6
ENSG00000180817	5464	PPA1
ENSG00000135486	3178	HNRNPA1
ENSG00000166402	7275	TUB
ENSG00000100034	9647	PPM1F
ENSG00000168724	134218	DNAJC21
ENSG00000103351	23059	CLUAP1
ENSG00000065308	9697	TRAM2
ENSG00000140743	1039	CDR2
ENSG00000136237	9771	RAPGEF5
ENSG00000119318	5887	RAD23B
ENSG00000247556	729082	OIP5-AS1
ENSG00000163527	201595	STT3B
ENSG00000134986	9315	NREP
ENSG00000146433	57583	TMEM181
ENSG00000162869	129285	PPP1R21
ENSG00000133597	90956	ADCK2
ENSG00000142910	64129	TINAGL1
ENSG00000173436	440574	MICOS10
ENSG00000146278	10957	PNRC1
ENSG00000135823	10228	STX6
ENSG00000162961	84661	DPY30
ENSG00000130707	445	ASS1
ENSG00000107581	8661	EIF3A
ENSG00000012822	57658	CALCOCO1
ENSG00000134905	79587	CARS2
ENSG00000130309	79709	COLGALT1
ENSG00000135776	23456	ABCB10
ENSG00000144036	23233	EXOC6B
ENSG00000101224	994	CDC25B
ENSG00000128596	64753	CCDC136
ENSG00000134107	8553	BHLHE40
ENSG00000184584	340061	STING1
ENSG00000068784	55133	SRBD1
ENSG00000132846	84327	ZBED3
ENSG00000099849	8045	RASSF7
ENSG00000137265	3662	IRF4
ENSG00000106688	6505	SLC1A1
ENSG00000172292	253782	CERS6
ENSG00000105559	57664	PLEKHA4
ENSG00000130962	5638	PRRG1
ENSG00000105855	3696	ITGB8
ENSG00000153707	5789	PTPRD
ENSG00000113578	2246	FGF1
ENSG00000117519	1266	CNN3
ENSG00000034152	5606	MAP2K3
ENSG00000155506	23367	LARP1
ENSG00000131759	5914	RARA
ENSG00000091164	9352	TXNL1
ENSG00000148154	7357	UGCG
ENSG00000275575	11156	PTP4A3
ENSG00000072121	23503	ZFYVE26
ENSG00000111321	4055	LTBR
ENSG00000156931	23355	VPS8
ENSG00000125676	57187	THOC2
ENSG00000105647	5296	PIK3R2
ENSG00000185052	57419	SLC24A3
ENSG00000118508	10981	RAB32
ENSG00000186310	4675	NAP1L3
ENSG00000187189	23270	TSPYL4
ENSG00000148672	2746	GLUD1
ENSG00000104825	4793	NFKBIB
ENSG00000120708	7045	TGFBI
ENSG00000130311	79016	DDA1
ENSG00000276340	9831	ZNF623
ENSG00000271425	100132406	NBPF10
ENSG00000198862	26046	LTN1
ENSG00000137547	29088	MRPL15
ENSG00000143631	2312	FLG
ENSG00000171135	84522	JAGN1
ENSG00000176225	25914	RTTN
ENSG00000119185	9270	ITGB1BP1
ENSG00000102174	5251	PHEX
ENSG00000150768	1737	DLAT
ENSG00000188243	170622	COMMD6
ENSG00000092853	63967	CLSPN
ENSG00000017483	92745	SLC38A5
ENSG00000136783	25934	NIPSNAP3A
ENSG00000167371	112476	PRRT2
ENSG00000197461	5154	PDGFA
ENSG00000273749	23191	CYFIP1
ENSG00000120889	8795	TNFRSF10B
ENSG00000144824	90102	PHLDB2
ENSG00000048405	168850	ZNF800
ENSG00000114650	22937	SCAP
ENSG00000183831	339416	ANKRD45
ENSG00000088808	23368	PPP1R13B
ENSG00000120820	83468	GLT8D2
ENSG00000174021	2787	GNG5
ENSG00000107249	169792	GLIS3
ENSG00000084444	57613	FAM234B
ENSG00000164051	79714	CCDC51
ENSG00000154134	64221	ROBO3
ENSG00000268895	503538	A1BG-AS1
ENSG00000007944	29116	MYLIP
ENSG00000166340	1200	TPP1
ENSG00000023734	11171	STRAP
ENSG00000168936	92305	TMEM129
ENSG00000237187	441094	NR2F1-AS1
ENSG00000011454	23637	RABGAP1
ENSG00000131732	84240	ZCCHC9
ENSG00000059145	64718	UNKL
ENSG00000122545	989	SEPTIN7
ENSG00000144233	83607	AMMECR1L
ENSG00000100890	9692	PRORP
ENSG00000136840	27090	ST6GALNAC4
ENSG00000139668	115825	WDFY2
ENSG00000164654	54468	MIOS
ENSG00000079308	7145	TNS1
ENSG00000197006	51108	METTL9
ENSG00000130592	4046	LSP1
ENSG00000131148	10328	EMC8
ENSG00000102802	84935	MEDAG
ENSG00000142102	80162	PGGHG
ENSG00000115252	5136	PDE1A
ENSG00000184083	54954	FAM120C
ENSG00000163902	6184	RPN1
ENSG00000178053	4291	MLF1
ENSG00000205356	25851	TECPR1
ENSG00000171148	10474	TADA3
ENSG00000107372	7763	ZFAND5
ENSG00000144583	57574	MARCHF4
ENSG00000140526	11057	ABHD2
ENSG00000159200	1827	RCAN1
ENSG00000229644	646309	NAMPTP1
ENSG00000178301	282679	AQP11
ENSG00000077235	2975	GTF3C1
ENSG00000140332	7090	TLE3
ENSG00000146828	56996	SLC12A9
ENSG00000135093	84749	USP30
ENSG00000221994	57232	ZNF630
ENSG00000246090	100507053	LOC100507053
ENSG00000145861	114898	C1QTNF2
ENSG00000244509	27350	APOBEC3C
ENSG00000115504	23301	EHBP1
ENSG00000291081	729375	FAM86HP
ENSG00000054277	23596	OPN3
ENSG00000096654	7738	ZNF184
ENSG00000274429	9231	DLG5
ENSG00000158985	56990	CDC42SE2
ENSG00000096092	28978	TMEM14A
ENSG00000128815	57705	WDFY4
ENSG00000163485	134	ADORA1
ENSG00000196116	23424	TDRD7
ENSG00000288401	2017	CTTN
ENSG00000066135	9682	KDM4A
ENSG00000174839	201627	DENND6A
ENSG00000122877	1959	EGR2
ENSG00000288022	124909423	DAGARR
ENSG00000130881	4037	LRP3
ENSG00000012660	60481	ELOVL5
ENSG00000136014	84101	USP44
ENSG00000173535	8794	TNFRSF10C
ENSG00000133639	694	BTG1
ENSG00000213462	2086	ERV3-1
ENSG00000119900	79627	OGFRL1
ENSG00000164951	54704	PDP1
ENSG00000138311	22891	ZNF365
ENSG00000004866	7982	ST7
ENSG00000004866	93655	ST7-OT3
ENSG00000143353	127018	LYPLAL1
ENSG00000073756	5743	PTGS2
ENSG00000110047	10938	EHD1
ENSG00000134324	23175	LPIN1
ENSG00000196912	57730	ANKRD36B
ENSG00000162368	51727	CMPK1
ENSG00000128594	64101	LRRC4
ENSG00000010322	11188	NISCH
ENSG00000168291	5162	PDHB
ENSG00000291006	730101	LOC730101
ENSG00000047644	55841	WWC3
ENSG00000179632	84232	MAF1
ENSG00000104043	79895	ATP8B4
ENSG00000180354	222166	MTURN
ENSG00000091483	2271	FH
ENSG00000285292	114483834	ABCF2-H2BK1
ENSG00000243364	1945	EFNA4
ENSG00000126247	826	CAPNS1
ENSG00000131374	9779	TBC1D5
ENSG00000146409	116843	SLC18B1
ENSG00000087903	5990	RFX2
ENSG00000136052	84102	SLC41A2
ENSG00000064201	10077	TSPAN32
ENSG00000113810	10051	SMC4
ENSG00000291063	107984974	LOC107984974
ENSG00000102452	259232	NALCN
ENSG00000248905	342184	FMN1
ENSG00000078804	58476	TP53INP2
ENSG00000119326	8727	CTNNAL1
ENSG00000262246	79585	CORO7
ENSG00000011052	654364	NME1-NME2
ENSG00000137501	54843	SYTL2
ENSG00000293241	100093631	GTF2IP4
ENSG00000166250	79827	CLMP
ENSG00000108846	8714	ABCC3
ENSG00000164031	79982	DNAJB14
ENSG00000171467	24149	ZNF318
ENSG00000178662	80034	CSRNP3
ENSG00000093217	9942	XYLB
ENSG00000104375	6788	STK3
ENSG00000105976	4233	MET
ENSG00000061337	11178	LZTS1
ENSG00000115548	55818	KDM3A
ENSG00000163297	118429	ANTXR2
ENSG00000116731	7799	PRDM2
ENSG00000139618	675	BRCA2
ENSG00000084710	22979	EFR3B
ENSG00000145725	23262	PPIP5K2
ENSG00000103876	2184	FAH
ENSG00000203485	64423	INF2
ENSG00000138686	55212	BBS7
ENSG00000130517	54858	PGPEP1
ENSG00000183655	64410	KLHL25
ENSG00000239697	8742	TNFSF12
ENSG00000014914	10903	MTMR11
ENSG00000196923	9260	PDLIM7
ENSG00000135414	10220	GDF11
ENSG00000058262	29927	SEC61A1
ENSG00000282800	84981	MIR22HG
ENSG00000152484	219333	USP12
ENSG00000224531	221710	SMIM13
ENSG00000230124	84320	ACBD6
ENSG00000230124	100527964	LHX4-AS1
ENSG00000157954	26100	WIPI2
ENSG00000172732	80198	MUS81
ENSG00000167969	1632	ECI1
ENSG00000196914	23365	ARHGEF12
ENSG00000099783	4670	HNRNPM
ENSG00000102900	9688	NUP93
ENSG00000143797	129642	MBOAT2
ENSG00000180304	4947	OAZ2
ENSG00000172476	142684	RAB40A
ENSG00000225733	100505641	FGD5-AS1
ENSG00000034693	8504	PEX3
ENSG00000160695	55823	VPS11
ENSG00000082438	22837	COBLL1
ENSG00000103035	5713	PSMD7
ENSG00000127955	2770	GNAI1
ENSG00000079819	2037	EPB41L2
ENSG00000169359	9197	SLC33A1
ENSG00000153207	25909	AHCTF1
ENSG00000198954	26128	KIFBP
ENSG00000103888	57214	CEMIP
ENSG00000171497	5481	PPID
ENSG00000196465	140465	MYL6B
ENSG00000136986	79139	DERL1
ENSG00000110811	10536	P3H3
ENSG00000185716	730094	MOSMO
ENSG00000068697	9741	LAPTM4A
ENSG00000154358	84033	OBSCN
ENSG00000126562	65266	WNK4
ENSG00000151332	51562	MBIP
ENSG00000134444	57614	RELCH
ENSG00000182916	56849	TCEAL7
ENSG00000127241	5648	MASP1
ENSG00000090238	83719	YPEL3
ENSG00000100345	4627	MYH9
ENSG00000103222	4363	ABCC1
ENSG00000159713	51673	TPPP3
ENSG00000187051	91582	RPS19BP1
ENSG00000082996	11342	RNF13
ENSG00000105088	93145	OLFM2
ENSG00000177663	23765	IL17RA
ENSG00000123405	4778	NFE2
ENSG00000130164	3949	LDLR
ENSG00000229253	9278	ZBTB22
ENSG00000170745	3790	KCNS3
ENSG00000142864	26135	SERBP1
ENSG00000150995	3708	ITPR1
ENSG00000133027	10400	PEMT
ENSG00000251602	100507437	MTA1-DT
ENSG00000188878	85302	FBF1
ENSG00000067798	89795	NAV3
ENSG00000123636	29994	BAZ2B
ENSG00000051180	5888	RAD51
ENSG00000197978	440295	GOLGA6L9
ENSG00000139946	57161	PELI2
ENSG00000141576	114804	RNF157
ENSG00000134779	25941	TPGS2
ENSG00000183255	754	PTTG1IP
ENSG00000139173	84216	TMEM117
ENSG00000291140	201283	AMZ2P1
ENSG00000168924	3954	LETM1
ENSG00000111481	22818	COPZ1
ENSG00000138658	55345	ZGRF1
ENSG00000151276	9223	MAGI1
ENSG00000185803	79581	SLC52A2
ENSG00000064652	28966	SNX24
ENSG00000183291	9403	SELENOF
ENSG00000182054	3418	IDH2
ENSG00000213563	414919	C8orf82
ENSG00000226328	100506714	NUP50-DT
ENSG00000076356	5362	PLXNA2
ENSG00000111816	2444	FRK
ENSG00000130227	23039	XPO7
ENSG00000085982	55230	USP40
ENSG00000197894	128	ADH5
ENSG00000103995	22995	CEP152
ENSG00000116171	6342	SCP2
ENSG00000140416	7168	TPM1
ENSG00000290696	29774	POM121L9P
ENSG00000136720	9394	HS6ST1
ENSG00000146063	90933	TRIM41
ENSG00000008517	9235	IL32
ENSG00000131437	11127	KIF3A
ENSG00000198933	9755	TBKBP1
ENSG00000165675	10495	ENOX2
ENSG00000174944	9934	P2RY14
ENSG00000152402	2977	GUCY1A2
ENSG00000137693	10413	YAP1
ENSG00000178028	55929	DMAP1
ENSG00000156140	9508	ADAMTS3
ENSG00000146386	58527	ABRACL
ENSG00000168769	54790	TET2
ENSG00000148358	57720	GPR107
ENSG00000151623	4306	NR3C2
ENSG00000123104	3709	ITPR2
ENSG00000086102	4799	NFX1
ENSG00000145022	6988	TCTA
ENSG00000293491	440104	TMEM198B
ENSG00000138379	2660	MSTN
ENSG00000011028	9902	MRC2
ENSG00000066739	55102	ATG2B
ENSG00000105656	8178	ELL
ENSG00000231312	728730	MAP4K3-DT
ENSG00000235314	255031	LINC00957
ENSG00000198589	987	LRBA
ENSG00000184185	3768	KCNJ12
ENSG00000235360	57827	C6orf47
ENSG00000198258	59286	UBL5
ENSG00000116095	65977	PLEKHA3
ENSG00000164850	2852	GPER1
ENSG00000196511	27010	TPK1
ENSG00000135686	79786	KLHL36
ENSG00000004975	1856	DVL2
ENSG00000099953	4320	MMP11
ENSG00000164342	7098	TLR3
ENSG00000120800	27340	UTP20
ENSG00000172296	55304	SPTLC3
ENSG00000173482	5797	PTPRM
ENSG00000156261	10694	CCT8
ENSG00000143469	255928	SYT14
ENSG00000005812	26224	FBXL3
ENSG00000134575	53	ACP2
ENSG00000054965	23201	FAM168A
ENSG00000280832	399972	GSEC
ENSG00000104332	6422	SFRP1
ENSG00000133884	5977	DPF2
ENSG00000168938	5480	PPIC
ENSG00000185917	54093	SETD4
ENSG00000115649	27013	CNPPD1
ENSG00000242802	9907	AP5Z1
ENSG00000126581	8678	BECN1
ENSG00000006062	9020	MAP3K14
ENSG00000109917	8882	ZPR1
ENSG00000069667	6095	RORA
ENSG00000168528	347735	SERINC2
ENSG00000110395	867	CBL
ENSG00000115232	3676	ITGA4
ENSG00000103855	80381	CD276
ENSG00000165899	283310	OTOGL
ENSG00000167302	146705	TEPSIN
ENSG00000165775	65991	FUNDC2
ENSG00000171502	255631	COL24A1
ENSG00000035681	8439	NSMAF
ENSG00000129484	10038	PARP2
ENSG00000155090	7071	KLF10
ENSG00000176485	11145	PLAAT3
ENSG00000285569	105373429	LOC105373429
ENSG00000153989	116150	NUS1
ENSG00000129235	84817	TXNDC17
ENSG00000100116	23464	GCAT
ENSG00000047932	57120	GOPC
ENSG00000215251	60493	FASTKD5
ENSG00000205683	8110	DPF3
ENSG00000154889	65258	MPPE1
ENSG00000247796	257396	MOCS2-DT
ENSG00000108602	218	ALDH3A1
ENSG00000204842	6311	ATXN2
ENSG00000197959	26052	DNM3
ENSG00000103145	54985	HCFC1R1
ENSG00000073146	54456	MOV10L1
ENSG00000292982	375690	WASH5P
ENSG00000168899	10791	VAMP5
ENSG00000178401	79962	DNAJC22
ENSG00000101126	23394	ADNP
ENSG00000176046	26471	NUPR1
ENSG00000099840	113177	IZUMO4
ENSG00000196458	100289635	ZNF605
ENSG00000175048	79683	ZDHHC14
ENSG00000121621	81930	KIF18A
ENSG00000282046	26585	GREM1
ENSG00000198768	164284	APCDD1L
ENSG00000155363	4343	MOV10
ENSG00000171862	5728	PTEN
ENSG00000069329	55737	VPS35
ENSG00000163870	131601	TPRA1
ENSG00000079150	51661	FKBP7
ENSG00000077585	7107	GPR137B
ENSG00000113384	64083	GOLPH3
ENSG00000115295	79745	CLIP4
ENSG00000269556	84548	TMEM185A
ENSG00000138756	55589	BMP2K
ENSG00000177272	3738	KCNA3
ENSG00000128016	7538	ZFP36
ENSG00000073111	4171	MCM2
ENSG00000175928	57633	LRRN1
ENSG00000075303	55972	SLC25A40
ENSG00000235657	3105	HLA-A
ENSG00000013583	50865	HEBP1
ENSG00000143549	7170	TPM3
ENSG00000171877	84978	FRMD5
ENSG00000145147	9353	SLIT2
ENSG00000108387	5414	SEPTIN4
ENSG00000196591	3066	HDAC2
ENSG00000121653	9479	MAPK8IP1
ENSG00000134070	3656	IRAK2
ENSG00000134590	8933	RTL8C
ENSG00000090686	84196	USP48
ENSG00000285485	4776	NFATC4
ENSG00000070961	490	ATP2B1
ENSG00000118804	8987	STBD1
ENSG00000102287	2564	GABRE
ENSG00000184985	57537	SORCS2
ENSG00000183137	285753	CEP57L1
ENSG00000162032	90864	SPSB3
ENSG00000042088	55775	TDP1
ENSG00000119977	26123	TCTN3
ENSG00000115641	2274	FHL2
ENSG00000215301	1654	DDX3X
ENSG00000213281	4893	NRAS
ENSG00000198408	10724	OGA
ENSG00000256040	493913	PAPPA-AS1
ENSG00000005471	5244	ABCB4
ENSG00000172346	27254	CSDC2
ENSG00000176809	374819	LRRC37A3
ENSG00000165516	23588	KLHDC2
ENSG00000129083	1315	COPB1
ENSG00000163659	25976	TIPARP
ENSG00000114331	23527	ACAP2
ENSG00000188827	84464	SLX4
ENSG00000076242	4292	MLH1
ENSG00000198959	7052	TGM2
ENSG00000104823	1891	ECH1
ENSG00000049656	81037	CLPTM1L
ENSG00000169418	4881	NPR1
ENSG00000172216	1051	CEBPB
ENSG00000087076	51171	HSD17B14
ENSG00000178184	84552	PARD6G
ENSG00000196262	5478	PPIA
ENSG00000254109	100128750	RBPMS-AS1
ENSG00000213066	11116	CEP43
ENSG00000203805	196051	PLPP4
ENSG00000140374	2108	ETFA
ENSG00000063587	10838	ZNF275
ENSG00000063587	105373378	LOC105373378
ENSG00000167548	8085	KMT2D
ENSG00000118579	80306	MED28
ENSG00000170456	160518	DENND5B
ENSG00000168300	115294	PCMTD1
ENSG00000160870	1551	CYP3A7
ENSG00000292248	114780	PKD1L2
ENSG00000110955	506	ATP5F1B
ENSG00000105997	3200	HOXA3
ENSG00000254004	339324	ZNF260
ENSG00000114573	523	ATP6V1A
ENSG00000233237	79940	LINC00472
ENSG00000184867	9823	ARMCX2
ENSG00000143153	481	ATP1B1
ENSG00000280798	283267	LINC00294
ENSG00000111911	135114	HINT3
ENSG00000164172	4338	MOCS2
ENSG00000093010	1312	COMT
ENSG00000176845	284207	METRNL
ENSG00000151632	1646	AKR1C2
ENSG00000158470	9334	B4GALT5
ENSG00000107611	8029	CUBN
ENSG00000075539	285527	FRYL
ENSG00000106538	5919	RARRES2
ENSG00000233904	3133	HLA-E
ENSG00000137203	7020	TFAP2A
ENSG00000013619	10046	MAMLD1
ENSG00000121454	89884	LHX4
ENSG00000169689	201254	CENPX
ENSG00000166292	55273	TMEM100
ENSG00000164949	2669	GEM
ENSG00000241878	23761	PISD
ENSG00000001036	2519	FUCA2
ENSG00000164694	84624	FNDC1
ENSG00000132326	8864	PER2
ENSG00000113163	10087	CERT1
ENSG00000144161	84524	ZC3H8
ENSG00000124006	23363	OBSL1
ENSG00000125835	6628	SNRPB
ENSG00000137312	10211	FLOT1
ENSG00000100697	23405	DICER1
ENSG00000103248	64779	MTHFSD
ENSG00000157916	11079	RER1
ENSG00000197208	6583	SLC22A4
ENSG00000120738	1958	EGR1
ENSG00000130511	170463	SSBP4
ENSG00000069998	27440	HDHD5
ENSG00000116337	271	AMPD2
ENSG00000168209	54541	DDIT4
ENSG00000156976	1974	EIF4A2
ENSG00000106683	3984	LIMK1
ENSG00000255072	84992	PIGY
ENSG00000117594	3290	HSD11B1
ENSG00000184939	146198	ZFP90
ENSG00000139154	121536	AEBP2
ENSG00000086189	27292	DIMT1
ENSG00000174501	400986	ANKRD36C
ENSG00000186260	57496	MRTFB
ENSG00000196576	23654	PLXNB2
ENSG00000100731	22990	PCNX1
ENSG00000141699	162427	RETREG3
ENSG00000139734	81624	DIAPH3
ENSG00000071859	9130	FAM50A
ENSG00000072134	22905	EPN2
ENSG00000108175	57178	ZMIZ1
ENSG00000114770	10057	ABCC5
ENSG00000167114	10999	SLC27A4
ENSG00000021762	114879	OSBPL5
ENSG00000269825	122539214	LOC122539214
ENSG00000118260	1385	CREB1
ENSG00000163565	3428	IFI16
ENSG00000130382	4298	MLLT1
ENSG00000173598	11163	NUDT4
ENSG00000137975	9635	CLCA2
ENSG00000159692	1487	CTBP1
ENSG00000166394	51700	CYB5R2
ENSG00000198040	7637	ZNF84
ENSG00000105426	5802	PTPRS
ENSG00000150756	134145	ATPSCKMT
ENSG00000051523	1535	CYBA
ENSG00000188428	63915	BLOC1S5
ENSG00000168883	10713	USP39
ENSG00000033050	10061	ABCF2
ENSG00000166171	25911	DPCD
ENSG00000163516	55139	ANKZF1
ENSG00000173641	27129	HSPB7
ENSG00000293159	102725072	POM121L15P
ENSG00000121892	23244	PDS5A
ENSG00000109016	25979	DHRS7B
ENSG00000066468	2263	FGFR2
ENSG00000059573	5832	ALDH18A1
ENSG00000128487	92521	SPECC1
ENSG00000160271	5900	RALGDS
ENSG00000112149	9308	CD83
ENSG00000180573	8334	H2AC6
ENSG00000134108	55207	ARL8B
ENSG00000215769	109286553	ARHGAP27P1-BPTFP1-KPNA2P3
ENSG00000085511	4216	MAP3K4
ENSG00000169554	9839	ZEB2
ENSG00000131943	83636	C19orf12
ENSG00000114857	4820	NKTR
ENSG00000172497	134526	ACOT12
ENSG00000173821	57674	RNF213
ENSG00000158321	26053	AUTS2
ENSG00000049089	1298	COL9A2
ENSG00000145242	2044	EPHA5
ENSG00000164465	285761	DCBLD1
ENSG00000151892	2674	GFRA1
ENSG00000173456	79102	RNF26
ENSG00000163281	132789	GNPDA2
ENSG00000169302	202374	STK32A
ENSG00000095002	4436	MSH2
ENSG00000132463	2926	GRSF1
ENSG00000155906	55005	RMND1
ENSG00000126773	64430	PCNX4
ENSG00000138069	5861	RAB1A
ENSG00000006788	8735	MYH13
ENSG00000125247	84899	TMTC4
ENSG00000172594	10924	SMPDL3A
ENSG00000163755	84343	HPS3
ENSG00000127314	5908	RAP1B
ENSG00000116774	56944	OLFML3
ENSG00000171466	54811	ZNF562
ENSG00000142733	9064	MAP3K6
ENSG00000097033	51100	SH3GLB1
ENSG00000186470	11118	BTN3A2
ENSG00000226688	728558	ENTPD1-AS1
ENSG00000259207	3690	ITGB3
ENSG00000134780	747	DAGLA
ENSG00000100461	55147	RBM23
ENSG00000155816	56776	FMN2
ENSG00000010818	3097	HIVEP2
ENSG00000206172	3039	HBA1
ENSG00000130150	158747	MOSPD2
ENSG00000144028	23020	SNRNP200
ENSG00000113368	4001	LMNB1
ENSG00000100092	23616	SH3BP1
ENSG00000095397	25861	WHRN
ENSG00000112297	202	CRYBG1
ENSG00000110442	29099	COMMD9
ENSG00000197380	147906	DACT3
ENSG00000110203	2352	FOLR3
ENSG00000135250	6733	SRPK2
ENSG00000155850	1836	SLC26A2
ENSG00000179941	79738	BBS10
ENSG00000188070	65998	ZFTA
ENSG00000164111	308	ANXA5
ENSG00000108688	6354	CCL7
ENSG00000170085	375484	SIMC1
ENSG00000111275	217	ALDH2
ENSG00000182263	55137	FIGN
ENSG00000164054	51246	SHISA5
ENSG00000227268	100144748	KLLN
ENSG00000138092	79172	CENPO
ENSG00000165383	474354	LRRC18
ENSG00000154096	7070	THY1
ENSG00000155849	9844	ELMO1
ENSG00000135480	3855	KRT7
ENSG00000141741	84299	MIEN1
ENSG00000146143	5558	PRIM2
ENSG00000128886	80237	ELL3
ENSG00000159593	8883	NAE1
ENSG00000154978	81552	VOPP1
ENSG00000092445	7301	TYRO3
ENSG00000091490	23231	SEL1L3
ENSG00000168079	286133	SCARA5
ENSG00000182095	84629	TNRC18
ENSG00000162383	6512	SLC1A7
ENSG00000102218	6102	RP2
ENSG00000169871	81844	TRIM56
ENSG00000123612	130399	ACVR1C
ENSG00000188158	4810	NHS
ENSG00000106443	9678	PHF14
ENSG00000113645	23286	WWC1
ENSG00000118596	9194	SLC16A7
ENSG00000105726	57130	ATP13A1
ENSG00000139410	113675	SDSL
ENSG00000196196	646962	HRCT1
ENSG00000104976	6618	SNAPC2
ENSG00000168522	2339	FNTA
ENSG00000249115	23354	HAUS5
ENSG00000132793	64900	LPIN3
ENSG00000228221	100505566	LINC00578
ENSG00000160991	80228	ORAI2
ENSG00000284130	113691	TUBA3FP
ENSG00000159388	7832	BTG2
